
time,ax,ay,az,wx,wy,wz,Azimuth,Pitch,Roll,Gain,
0.5910,-0.0611,0.1034,-0.5293,-0.1430,0.0211,0.0125,233.0884,-23.5137,-4.4509,85.2648,
0.6040,-0.0611,0.1034,-0.5293,-0.1430,0.0211,0.0125,233.0884,-23.5137,-4.4509,85.2648,
0.6110,-0.0611,0.1034,-0.5293,-0.1430,0.0211,0.0125,233.0884,-23.5137,-4.4509,85.2648,
0.6120,-0.0611,0.1034,-0.5293,-0.1430,0.0211,0.0125,232.7042,-23.3377,-4.5959,85.2648,
0.6140,0.0897,0.0437,-0.1123,-0.1430,0.0211,0.0125,232.7042,-23.3377,-4.5959,85.2648,
0.6600,0.0897,0.0437,-0.1123,-0.1430,0.0211,0.0125,232.7042,-23.3377,-4.5959,85.2648,
0.6630,0.0897,0.0437,-0.1123,-0.0510,0.0162,-0.0795,232.7042,-23.3377,-4.5959,85.2648,
0.6670,0.0897,0.0437,-0.1123,-0.0510,0.0162,-0.0795,232.7042,-23.3377,-4.5959,85.2648,
0.6740,0.0897,0.0437,-0.1123,-0.0510,0.0162,-0.0795,232.7042,-23.3377,-4.5959,85.2648,
0.6820,0.0897,0.0437,-0.1123,-0.0510,0.0162,-0.0795,232.7592,-23.0109,-4.5920,85.2648,
0.6860,0.2145,-0.0385,0.2915,-0.0510,0.0162,-0.0795,232.7592,-23.0109,-4.5920,85.2648,
0.7270,0.2145,-0.0385,0.2915,-0.0510,0.0162,-0.0795,232.7592,-23.0109,-4.5920,85.2648,
0.7290,0.2145,-0.0385,0.2915,-0.0510,0.0162,-0.0795,232.7592,-23.0109,-4.5920,85.2648,
0.7300,0.2145,-0.0385,0.2915,-0.1105,0.0123,-0.0878,232.7592,-23.0109,-4.5920,85.2648,
0.7390,0.2145,-0.0385,0.2915,-0.1105,0.0123,-0.0878,232.7592,-23.0109,-4.5920,85.2648,
0.7470,0.2145,-0.0385,0.2915,-0.1105,0.0123,-0.0878,233.0391,-22.5896,-4.5854,85.2648,
0.7490,0.0380,0.1614,-0.2890,-0.1105,0.0123,-0.0878,233.0391,-22.5896,-4.5854,85.2648,
0.7510,0.0380,0.1614,-0.2890,-0.1105,0.0123,-0.0878,233.0391,-22.5896,-4.5854,85.2648,
0.7960,0.0380,0.1614,-0.2890,-0.1105,0.0123,-0.0878,233.0391,-22.5896,-4.5854,85.2648,
0.7970,0.0380,0.1614,-0.2890,-0.1105,0.0123,-0.0878,233.0391,-22.5896,-4.5854,85.2648,
0.7980,0.0380,0.1614,-0.2890,-0.1220,-0.0144,-0.0698,233.0391,-22.5896,-4.5854,85.2648,
