time,gFx,gFy,gFz,TgF
0.619000,0.0498,0.4292,0.9220,1.018
0.624000,0.0496,0.4302,0.9220,1.019
0.632000,0.0467,0.4302,0.9225,1.019
0.634000,0.0442,0.4287,0.9247,1.020
0.638000,0.0435,0.4273,0.9271,1.022
0.644000,0.0403,0.4261,0.9291,1.023
0.649000,0.0374,0.4248,0.9305,1.024
0.654000,0.0362,0.4241,0.9308,1.023
0.658000,0.0369,0.4236,0.9313,1.024
0.663000,0.0364,0.4224,0.9327,1.025
0.668000,0.0352,0.4214,0.9325,1.024
0.675000,0.0357,0.4204,0.9313,1.022
0.680000,0.0354,0.4185,0.9305,1.021
0.683000,0.0349,0.4170,0.9295,1.019
0.687000,0.0381,0.4177,0.9286,1.019
0.699000,0.0398,0.4185,0.9281,1.019
0.700000,0.0401,0.4182,0.9288,1.019
0.702000,0.0425,0.4187,0.9295,1.020
0.709000,0.0442,0.4190,0.9308,1.022
0.712000,0.0457,0.4195,0.9310,1.022
0.716000,0.0467,0.4185,0.9293,1.020
0.721000,0.0445,0.4170,0.9288,1.019
0.726000,0.0428,0.4163,0.9273,1.017
0.731000,0.0425,0.4148,0.9266,1.016
0.736000,0.0423,0.4129,0.9271,1.016
0.743000,0.0425,0.4109,0.9256,1.014
0.746000,0.0428,0.4102,0.9237,1.012
0.751000,0.0445,0.4111,0.9237,1.012
0.754000,0.0462,0.4097,0.9269,1.014
0.760000,0.0474,0.4080,0.9310,1.018
0.765000,0.0489,0.4065,0.9349,1.021
0.769000,0.0501,0.4036,0.9393,1.024
0.778000,0.0508,0.4016,0.9418,1.025
0.780000,0.0520,0.4004,0.9422,1.025
0.784000,0.0537,0.3987,0.9408,1.023
0.795000,0.0547,0.3958,0.9379,1.019
0.797000,0.0542,0.3953,0.9359,1.017
0.799000,0.0530,0.3955,0.9352,1.017
0.807000,0.0550,0.3943,0.9339,1.015
0.808000,0.0586,0.3938,0.9337,1.015
0.812000,0.0606,0.3928,0.9337,1.015
0.818000,0.0611,0.3926,0.9337,1.015
0.822000,0.0611,0.3933,0.9335,1.015
0.827000,0.0608,0.3926,0.9349,1.016
0.832000,0.0594,0.3909,0.9371,1.017
0.836000,0.0569,0.3904,0.9388,1.018
0.842000,0.0555,0.3897,0.9396,1.019
0.847000,0.0537,0.3882,0.9396,1.018
0.852000,0.0528,0.3884,0.9415,1.020
0.856000,0.0520,0.3879,0.9442,1.022
0.862000,0.0501,0.3870,0.9476,1.025
0.866000,0.0474,0.3860,0.9503,1.027
0.872000,0.0440,0.3833,0.9491,1.025
0.877000,0.0415,0.3811,0.9481,1.023
0.881000,0.0408,0.3809,0.9471,1.022
0.885000,0.0413,0.3811,0.9471,1.022
0.901000,0.0423,0.3806,0.9486,1.023
0.902000,0.0450,0.3818,0.9474,1.022
0.903000,0.0471,0.3843,0.9471,1.023
0.931000,0.0479,0.3848,0.9474,1.024
0.931000,0.0498,0.3857,0.9464,1.023
0.932000,0.0506,0.3867,0.9454,1.023
0.932000,0.0493,0.3865,0.9435,1.021
0.932000,0.0486,0.3855,0.9430,1.020
0.932000,0.0489,0.3843,0.9447,1.021
0.933000,0.0491,0.3843,0.9454,1.022
0.940000,0.0474,0.3826,0.9459,1.021
0.945000,0.0462,0.3806,0.9484,1.023
0.948000,0.0464,0.3799,0.9508,1.025
0.952000,0.0462,0.3787,0.9520,1.026
0.958000,0.0464,0.3779,0.9537,1.027
0.962000,0.0464,0.3777,0.9550,1.028
0.967000,0.0471,0.3772,0.9572,1.030
0.979000,0.0476,0.3760,0.9581,1.030
0.980000,0.0469,0.3747,0.9586,1.030
0.986000,0.0459,0.3745,0.9618,1.033
0.988000,0.0452,0.3738,0.9640,1.035
1.003000,0.0464,0.3743,0.9637,1.035
1.004000,0.0474,0.3738,0.9635,1.035
1.004000,0.0459,0.3723,0.9630,1.033
1.014000,0.0454,0.3713,0.9623,1.032
1.014000,0.0442,0.3694,0.9618,1.031
1.017000,0.0418,0.3679,0.9618,1.031
1.021000,0.0406,0.3679,0.9606,1.029
1.026000,0.0401,0.3686,0.9569,1.026
1.031000,0.0406,0.3701,0.9530,1.023
1.036000,0.0413,0.3708,0.9513,1.022
1.040000,0.0413,0.3706,0.9501,1.021
1.045000,0.0410,0.3708,0.9471,1.018
1.050000,0.0413,0.3716,0.9444,1.016
1.055000,0.0420,0.3728,0.9420,1.014
1.062000,0.0423,0.3733,0.9393,1.012
1.066000,0.0425,0.3735,0.9371,1.010
1.070000,0.0425,0.3733,0.9364,1.009
1.076000,0.0432,0.3728,0.9354,1.008
1.080000,0.0435,0.3733,0.9354,1.008
1.084000,0.0437,0.3733,0.9369,1.009
1.095000,0.0442,0.3728,0.9379,1.010
1.096000,0.0437,0.3728,0.9398,1.012
1.100000,0.0428,0.3735,0.9415,1.014
1.103000,0.0430,0.3743,0.9427,1.015
1.108000,0.0425,0.3740,0.9427,1.015
1.113000,0.0410,0.3733,0.9420,1.014
1.119000,0.0403,0.3726,0.9420,1.014
1.125000,0.0396,0.3713,0.9422,1.014
1.127000,0.0398,0.3713,0.9420,1.013
1.134000,0.0403,0.3713,0.9427,1.014
1.138000,0.0406,0.3716,0.9454,1.017
1.143000,0.0391,0.3713,0.9486,1.019
1.148000,0.0384,0.3716,0.9498,1.021
1.152000,0.0388,0.3726,0.9491,1.020
1.158000,0.0388,0.3716,0.9484,1.019
1.162000,0.0393,0.3708,0.9476,1.018
1.167000,0.0386,0.3694,0.9481,1.018
1.171000,0.0369,0.3684,0.9479,1.018
1.175000,0.0362,0.3682,0.9469,1.017
1.181000,0.0349,0.3674,0.9476,1.017
1.186000,0.0342,0.3677,0.9486,1.018
1.198000,0.0340,0.3682,0.9488,1.018
1.200000,0.0335,0.3672,0.9486,1.018
1.201000,0.0332,0.3677,0.9488,1.018
1.236000,0.0335,0.3682,0.9496,1.019
1.237000,0.0344,0.3667,0.9496,1.019
1.237000,0.0357,0.3657,0.9493,1.018
1.237000,0.0366,0.3667,0.9493,1.018
1.238000,0.0371,0.3667,0.9474,1.017
1.238000,0.0381,0.3657,0.9444,1.013
1.238000,0.0403,0.3657,0.9437,1.013
1.239000,0.0410,0.3660,0.9442,1.013
1.244000,0.0413,0.3662,0.9449,1.014
1.249000,0.0410,0.3652,0.9452,1.014
1.253000,0.0398,0.3647,0.9464,1.015
1.259000,0.0393,0.3645,0.9479,1.016
1.263000,0.0379,0.3650,0.9488,1.017
1.268000,0.0359,0.3672,0.9506,1.020
1.279000,0.0354,0.3679,0.9518,1.021
1.280000,0.0330,0.3674,0.9520,1.021
1.313000,0.0300,0.3679,0.9518,1.021
1.315000,0.0286,0.3672,0.9523,1.021
1.315000,0.0269,0.3664,0.9537,1.022
1.316000,0.0242,0.3669,0.9562,1.024
1.316000,0.0217,0.3667,0.9584,1.026
1.316000,0.0200,0.3669,0.9591,1.027
1.316000,0.0183,0.3684,0.9596,1.028
1.317000,0.0164,0.3694,0.9603,1.029
1.324000,0.0156,0.3706,0.9603,1.029
1.326000,0.0164,0.3721,0.9611,1.031
1.331000,0.0198,0.3726,0.9625,1.032
1.336000,0.0230,0.3721,0.9642,1.034
1.340000,0.0244,0.3716,0.9655,1.035
1.345000,0.0264,0.3716,0.9650,1.034
1.351000,0.0283,0.3716,0.9645,1.034
1.355000,0.0305,0.3713,0.9628,1.032
1.360000,0.0327,0.3696,0.9598,1.029
1.365000,0.0349,0.3684,0.9596,1.028
1.370000,0.0354,0.3677,0.9596,1.028
1.378000,0.0349,0.3667,0.9581,1.026
1.380000,0.0347,0.3664,0.9569,1.025
1.385000,0.0349,0.3657,0.9562,1.024
1.391000,0.0369,0.3655,0.9554,1.024
1.412000,0.0371,0.3650,0.9550,1.023
1.413000,0.0366,0.3645,0.9574,1.025
1.414000,0.0371,0.3647,0.9598,1.027
1.414000,0.0359,0.3647,0.9613,1.029
1.414000,0.0354,0.3657,0.9593,1.027
1.418000,0.0352,0.3647,0.9572,1.025
1.426000,0.0335,0.3633,0.9564,1.024
1.428000,0.0330,0.3623,0.9552,1.022
1.433000,0.0335,0.3608,0.9557,1.022
1.437000,0.0349,0.3611,0.9562,1.023
1.443000,0.0369,0.3616,0.9557,1.022
1.447000,0.0386,0.3620,0.9567,1.024
1.452000,0.0393,0.3620,0.9554,1.022
1.457000,0.0388,0.3616,0.9523,1.019
1.462000,0.0388,0.3613,0.9501,1.017
1.466000,0.0386,0.3603,0.9488,1.016
1.472000,0.0381,0.3594,0.9488,1.015
1.477000,0.0371,0.3591,0.9498,1.016
1.482000,0.0381,0.3596,0.9520,1.018
1.486000,0.0403,0.3611,0.9530,1.020
1.496000,0.0413,0.3616,0.9518,1.019
1.497000,0.0428,0.3618,0.9523,1.020
1.501000,0.0442,0.3623,0.9532,1.021
1.508000,0.0454,0.3625,0.9515,1.019
1.516000,0.0469,0.3620,0.9496,1.017
1.517000,0.0471,0.3618,0.9491,1.017
1.521000,0.0471,0.3618,0.9491,1.017
1.532000,0.0469,0.3628,0.9484,1.016
1.532000,0.0462,0.3645,0.9471,1.016
1.535000,0.0452,0.3660,0.9464,1.016
1.540000,0.0440,0.3669,0.9440,1.014
1.544000,0.0420,0.3677,0.9408,1.011
1.549000,0.0376,0.3684,0.9374,1.008
1.554000,0.0342,0.3682,0.9320,1.003
1.560000,0.0318,0.3684,0.9288,1.000
1.564000,0.0291,0.3682,0.9283,0.999
1.569000,0.0269,0.3672,0.9276,0.998
1.576000,0.0264,0.3672,0.9286,0.999
1.584000,0.0271,0.3682,0.9313,1.002
1.584000,0.0288,0.3684,0.9342,1.005
1.588000,0.0300,0.3696,0.9396,1.010
1.593000,0.0315,0.3708,0.9462,1.017
1.597000,0.0335,0.3704,0.9518,1.022
1.603000,0.0344,0.3711,0.9574,1.027
1.608000,0.0354,0.3718,0.9620,1.032
1.613000,0.0362,0.3723,0.9642,1.034
1.617000,0.0357,0.3721,0.9640,1.034
1.622000,0.0352,0.3721,0.9630,1.033
1.627000,0.0340,0.3723,0.9613,1.031
1.631000,0.0322,0.3726,0.9596,1.030
1.636000,0.0303,0.3735,0.9574,1.028
1.641000,0.0281,0.3747,0.9547,1.026
1.646000,0.0261,0.3752,0.9520,1.024
1.652000,0.0230,0.3760,0.9488,1.021
1.656000,0.0208,0.3767,0.9462,1.019
1.661000,0.0181,0.3760,0.9430,1.015
1.666000,0.0144,0.3757,0.9413,1.014
1.671000,0.0129,0.3747,0.9405,1.013
1.677000,0.0110,0.3738,0.9422,1.014
1.680000,0.0098,0.3743,0.9449,1.016
1.685000,0.0107,0.3755,0.9474,1.019
1.694000,0.0115,0.3755,0.9518,1.023
1.694000,0.0117,0.3755,0.9540,1.025
1.700000,0.0132,0.3757,0.9545,1.026
1.704000,0.0154,0.3750,0.9554,1.027
1.709000,0.0169,0.3743,0.9557,1.026
1.714000,0.0186,0.3743,0.9564,1.027
1.719000,0.0195,0.3752,0.9569,1.028
1.723000,0.0200,0.3752,0.9572,1.028
1.728000,0.0205,0.3755,0.9576,1.029
1.734000,0.0200,0.3760,0.9564,1.028
1.738000,0.0181,0.3767,0.9535,1.025
1.743000,0.0169,0.3769,0.9518,1.024
1.748000,0.0147,0.3752,0.9510,1.022
1.753000,0.0129,0.3743,0.9501,1.021
1.758000,0.0122,0.3735,0.9491,1.020
1.762000,0.0112,0.3738,0.9481,1.019
1.767000,0.0125,0.3740,0.9466,1.018
1.772000,0.0139,0.3745,0.9474,1.019
1.777000,0.0142,0.3752,0.9481,1.020
1.781000,0.0139,0.3745,0.9474,1.019
1.786000,0.0142,0.3743,0.9476,1.019
1.800000,0.0156,0.3738,0.9486,1.020
